time,epoch,batch,loss,cost
0min0sec,0,0,-1.003,16.328
0min1sec,0,10,-6.812,16.785
0min1sec,0,20,-6.132,16.898
0min1sec,0,30,-4.119,16.844
0min1sec,0,40,-2.050,16.749
0min1sec,0,50,-1.616,16.701
0min1sec,0,60,-1.992,16.685
0min1sec,0,70,-2.093,16.669
0min1sec,0,80,-1.456,16.592
0min1sec,0,90,-1.350,16.551
0min1sec,0,100,-1.637,16.511
0min1sec,0,110,-1.219,16.452
0min1sec,0,120,-1.488,16.450
0min1sec,0,130,-1.530,16.441
0min1sec,0,140,-1.388,16.431
0min1sec,0,150,-1.104,16.401
0min1sec,0,160,-1.119,16.376
0min1sec,0,170,-1.257,16.379
0min1sec,0,180,-0.866,16.329
0min1sec,0,190,-1.151,16.339
0min1sec,0,200,-0.992,16.335
0min1sec,0,210,-0.814,16.319
0min1sec,0,220,-0.793,16.302
0min1sec,0,230,-0.695,16.284
0min1sec,0,240,-0.850,16.282
0min1sec,0,250,-0.782,16.268
0min1sec,0,260,-0.762,16.256
0min1sec,0,270,-0.671,16.233
0min1sec,0,280,-0.702,16.210
0min1sec,0,290,-0.771,16.205
0min1sec,0,300,-0.815,16.202
0min1sec,0,310,-0.926,16.204
0min1sec,0,320,-0.827,16.193
0min1sec,0,330,-0.826,16.181
0min1sec,0,340,-0.810,16.172
0min1sec,0,350,-0.927,16.167
0min1sec,0,360,-0.940,16.160
0min1sec,0,370,-0.907,16.155
0min1sec,0,380,-0.830,16.134
0min1sec,0,390,-0.955,16.131
0min1sec,0,400,-1.065,16.130
0min1sec,0,410,-1.144,16.133
0min1sec,0,420,-1.143,16.133
0min1sec,0,430,-1.153,16.128
0min1sec,0,440,-1.136,16.122
0min1sec,0,450,-1.172,16.126
0min1sec,0,460,-1.185,16.126
0min1sec,0,470,-1.169,16.115
0min1sec,0,480,-1.242,16.116
0min1sec,0,490,-1.251,16.111
0min1sec,0,500,-1.229,16.102
0min1sec,0,510,-1.243,16.094
0min1sec,0,520,-1.301,16.092
0min1sec,0,530,-1.336,16.094
0min1sec,0,540,-1.321,16.092
0min1sec,0,550,-1.356,16.088
0min1sec,0,560,-1.312,16.086
0min1sec,0,570,-1.329,16.085
0min1sec,0,580,-1.338,16.081
0min1sec,0,590,-1.291,16.073
0min1sec,0,600,-1.281,16.065
0min1sec,0,610,-1.338,16.067
0min1sec,0,620,-1.286,16.065
0min14sec,1,0,13.599,14.922
0min1sec,1,10,-3.023,15.763
0min1sec,1,20,-5.465,15.926
0min1sec,1,30,-6.628,16.005
0min1sec,1,40,-4.364,15.996
0min1sec,1,50,-4.480,15.958
0min1sec,1,60,-4.545,16.000
0min1sec,1,70,-5.009,16.049
0min1sec,1,80,-4.612,16.024
0min1sec,1,90,-4.430,16.016
0min1sec,1,100,-3.838,15.992
0min1sec,1,110,-3.682,15.970
0min1sec,1,120,-3.209,15.978
0min1sec,1,130,-3.808,16.011
0min1sec,1,140,-3.385,16.006
0min1sec,1,150,-3.801,16.014
0min1sec,1,160,-4.105,16.018
0min1sec,1,170,-4.226,16.036
0min1sec,1,180,-4.590,16.019
0min1sec,1,190,-5.142,16.033
0min1sec,1,200,-4.951,16.017
0min1sec,1,210,-4.870,16.016
0min1sec,1,220,-4.660,16.014
0min1sec,1,230,-4.859,16.016
0min1sec,1,240,-4.703,16.006
0min1sec,1,250,-4.281,15.997
0min1sec,1,260,-4.227,15.994
0min1sec,1,270,-4.277,15.991
0min1sec,1,280,-4.033,15.986
0min1sec,1,290,-3.968,15.990
0min1sec,1,300,-4.016,15.996
0min1sec,1,310,-4.430,16.013
0min1sec,1,320,-4.575,16.014
0min1sec,1,330,-4.564,16.011
0min1sec,1,340,-4.718,16.031
0min1sec,1,350,-4.712,16.024
0min1sec,1,360,-4.530,16.021
0min1sec,1,370,-4.474,16.016
0min1sec,1,380,-4.370,16.019
0min1sec,1,390,-4.201,16.019
0min1sec,1,400,-4.248,16.014
0min1sec,1,410,-4.372,16.016
0min1sec,1,420,-4.244,16.017
0min1sec,1,430,-4.323,16.015
0min1sec,1,440,-4.427,16.023
0min1sec,1,450,-4.357,16.028
0min1sec,1,460,-4.397,16.028
0min1sec,1,470,-4.404,16.026
0min1sec,1,480,-4.262,16.023
0min1sec,1,490,-4.312,16.023
0min1sec,1,500,-4.320,16.020
